año,ventas_físicas_mundiales,ventas_físicas_kpop,ventas_sin_kpop,porcentaje_ww,streaming,downloads,performance_rights,synchronization,
2013,6100,206.5,5893.5,45.5%,1300,4100,1600,300,
2014,5300,184.5,5115.5,41.0%,1800,3800,1700,300,
2015,5100,209.5,4890.5,38.0%,2600,3600,1800,300,
2016,4900,270.25,4629.75,33.0%,4400,3000,2100,300,
2017,4600,423.25,4176.75,29.0%,6200,2500,2200,400,
2018,4100,570.5,3529.5,23.5%,8800,1600,2500,400,
2019,3900,614.75,3285.25,20.7%,10700,1400,2400,400,
2020,3700,1042.75,2657.25,18.3%,12700,1200,2200,400,
2021,4300,1427.25,2872.75,17.9%,15700,1100,2300,500,
2022,4500,1928,2572,17.3%,17500,900,2500,600,
2023,5100,2879.25,2220.75,17.8%,19300,900,2700,600,
